Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,lat,lon
420106,PRISMA HEALTH BAPTIST PARKRIDGE,400 PALMETTO HEALTH PARKWAY,COLUMBIA,SC,29212,LEXINGTON,(803) 907-7011,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,34.08,-81.17
240063,ST JOSEPH'S HOSPITAL,45 WEST 10TH STREET,SAINT PAUL,MN,55102,RAMSEY,(651) 232-3000,Acute Care Hospitals,Voluntary non-profit - Private,False,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,44.93,-93.12
450684,MEMORIAL HERMANN NORTHEAST HOSPITAL,18951 MEMORIAL NORTH,HUMBLE,TX,77338,HARRIS,(281) 540-7700,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,30.01,-95.29
450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,TX,79714,ANDREWS,(432) 523-2200,Acute Care Hospitals,Government - Hospital District or Authority,True,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,32.3,-102.6
390127,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,PHOENIXVILLE,PA,19460,CHESTER,(610) 983-1000,Acute Care Hospitals,Proprietary,True,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,40.13,-75.53
180029,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,HAZARD,KY,41701,PERRY,(606) 439-6600,Acute Care Hospitals,Voluntary non-profit - Private,True,1,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,37.3,-83.2
140167,IROQUOIS MEMORIAL HOSPITAL,200 FAIRMAN STREET,WATSEKA,IL,60970,IROQUOIS,(815) 432-5201,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Same as the national average,Not Available,40.8,-87.7
390096,ST JOSEPH MEDICAL CENTER,2500 BERNVILLE ROAD,READING,PA,19605,BERKS,(610) 378-2000,Acute Care Hospitals,Voluntary non-profit - Church,True,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,40.41,-75.95
141324,FERRELL HOSPITAL COMMUNITY FOUNDATIONS,1201 PINE STREET,ELDORADO,IL,62930,SALINE,(618) 273-3361,Critical Access Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Not Available,Not Available,37.8,-88.4
051328,TAHOE FOREST HOSPITAL,10121 PINE AVE,TRUCKEE,CA,96161,NEVADA,(530) 587-6011,Critical Access Hospitals,Government - Hospital District or Authority,True,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,39.2,-120.4
381320,COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE STREET,ASTORIA,OR,97103,CLATSOP,(503) 325-4321,Critical Access Hospitals,Proprietary,True,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Not Available,Above the national average,Below the national average,46.1,-123.7
520027,ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE,13111 N PORT WASHINGTON RD,MEQUON,WI,53097,OZAUKEE,(414) 585-1374,Acute Care Hospitals,Voluntary non-profit - Church,True,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,43.24,-87.98
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,JACKSON,MS,39202,HINDS,(601) 968-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,32.31,-90.17
400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 37 1/2,HATO REY,PR,918,SAN JUAN,(787) 758-2000,Acute Care Hospitals,Voluntary non-profit - Private,True,1,Same as the national average,Same as the national average,Below the national average,Not Available,Below the national average,Not Available,Not Available,18.42,-66.07
150017,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,ALLEN,(260) 435-7001,Acute Care Hospitals,Proprietary,True,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,41.05,-85.24
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DU PAGE,(630) 682-1600,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,41.87,-88.16
030038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,(480) 882-4004,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,33.49,-111.92
111327,BACON COUNTY HOSPITAL,302 SOUTH WAYNE STREET,ALMA,GA,31510,BACON,(912) 632-8961,Critical Access Hospitals,Voluntary non-profit - Other,True,3,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Same as the national average,Not Available,31.6,-82.5
230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,WAYNE,(313) 966-3300,Acute Care Hospitals,Proprietary,True,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,42.43,-83.19
230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,WAYNE,(313) 916-2600,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,42.38,-83.08
310050,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,25 POCONO ROAD,DENVILLE,NJ,7834,MORRIS,(973) 983-5569,Acute Care Hospitals,Proprietary,True,5,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,40.88,-74.49
450152,ADVENTHEALTH CENTRAL TEXAS,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,BELL,(254) 526-7523,Acute Care Hospitals,Voluntary non-profit - Church,True,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,31.0,-97.7
340010,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,27534,WAYNE,(919) 736-1110,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,35.4,-77.9
390225,WELLSPAN EPHRATA COMMUNITY HOSPITAL,169 MARTIN AVENUE,EPHRATA,PA,17522,LANCASTER,(717) 733-0311,Acute Care Hospitals,Voluntary non-profit - Other,True,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,40.17,-76.17
450203,MEDICAL CITY WEATHERFORD,713 E ANDERSON ST,WEATHERFORD,TX,76086,PARKER,(817) 599-1190,Acute Care Hospitals,Proprietary,True,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,32.76,-97.79
230142,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,WAYNE,(734) 467-4175,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,42.28,-83.39
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,(907) 276-1131,Acute Care Hospitals,Proprietary,True,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,61.21,-149.82
230121,MEMORIAL HEALTHCARE,826 WEST KING STREET,OWOSSO,MI,48867,SHIAWASSEE,(989) 723-5211,Acute Care Hospitals,Voluntary non-profit - Other,False,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,43.0,-84.2
301303,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,3584,COOS,(603) 788-4911,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average,44.5,-71.5
461304,CENTRAL VALLEY MEDICAL CENTER - CAH,48 WEST 1500 NORTH,NEPHI,UT,84648,JUAB,(435) 623-3000,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Not Available,Not Available,Below the national average,Above the national average,Not Available,Above the national average,Not Available,39.6,-112.0
200063,PENOBSCOT BAY MEDICAL CENTER,6 GLEN COVE DRIVE,ROCKPORT,ME,4856,KNOX,(207) 921-8000,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,44.17,-69.12
490098,COMMUNITY MEMORIAL HOSPITAL,1755 NORTH MECKLENBURG AVENUE,SOUTH HILL,VA,23970,MECKLENBURG,(434) 447-3151,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,36.7,-78.2
520075,ST VINCENT HOSPITAL,835 S VAN BUREN ST,GREEN BAY,WI,54301,BROWN,(920) 433-0111,Acute Care Hospitals,Voluntary non-profit - Church,True,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,44.48,-88.02
160122,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON,IA,52627,LEE,(319) 372-6530,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,40.6,-91.4
191324,OCHSNER ST ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,LAFOURCHE,(985) 537-8377,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,29.7,-90.6
531307,COMMUNITY HOSPITAL,2000 CAMPBELL DRIVE,TORRINGTON,WY,82240,GOSHEN,(307) 532-4181,Critical Access Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,42.2,-104.2
361332,HIGHLAND DISTRICT HOSPITAL,1275 NORTH HIGH STREET,HILLSBORO,OH,45133,HIGHLAND,(937) 393-6100,Critical Access Hospitals,Government - Hospital District or Authority,True,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,39.2,-83.5
170197,KANSAS MEDICAL CENTER LLC,1124 WEST 21ST STREET,ANDOVER,KS,67002,BUTLER,(316) 300-4000,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,37.69,-97.11
340129,LAKE NORMAN REGIONAL MEDICAL CENTER,171 FAIRVIEW ROAD,MOORESVILLE,NC,28117,IREDELL,(704) 660-4000,Acute Care Hospitals,Proprietary,True,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,35.57,-80.89
190086,NORTHERN LOUISIANA MEDICAL CENTER,401 EAST VAUGHN AVENUE,RUSTON,LA,71270,LINCOLN,(318) 254-2100,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,32.5,-92.6
221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,(413) 528-0790,Critical Access Hospitals,Voluntary non-profit - Private,True,5,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Same as the national average,42.2,-73.3
390068,UPMC LITITZ,1500 HIGHLANDS DRIVE,LITITZ,PA,17543,LANCASTER,(717) 625-5670,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,40.2,-76.3
420038,PRISMA HEALTH LAURENS COUNTY HOSPITAL,22725 HIGHWAY 76 EAST,CLINTON,SC,29325,LAURENS,(864) 833-9100,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,34.5,-81.8
050423,PALO VERDE HOSPITAL,250 NORTH FIRST STREET,BLYTHE,CA,92225,RIVERSIDE,(760) 922-4115,Acute Care Hospitals,Government - Hospital District or Authority,True,3,Not Available,Not Available,Same as the national average,Not Available,Below the national average,Below the national average,Not Available,33.8,-115.1
490077,MARTHA JEFFERSON HOSPITAL,500 MARTHA JEFFERSON DRIVE,CHARLOTTESVILLE,VA,22911,ALBEMARLE,(434) 654-7000,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,38.1,-78.4
151319,GIBSON GENERAL HOSPITAL,1808 SHERMAN DR,PRINCETON,IN,47670,GIBSON,(812) 385-3401,Critical Access Hospitals,Voluntary non-profit - Private,True,3,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Same as the national average,38.3,-87.6
110111,UNIVERSITY HOSPITAL MCDUFFIE,2460 WASHINGTON ROAD,THOMSON,GA,30824,MC DUFFIE,(706) 595-1411,Acute Care Hospitals,Government - Hospital District or Authority,True,3,Not Available,Same as the national average,Same as the national average,Not Available,Below the national average,Same as the national average,Not Available,33.5,-82.5
050093,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,FRESNO,CA,93710,FRESNO,(559) 450-3000,Acute Care Hospitals,Voluntary non-profit - Church,True,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,36.82,-119.78
170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,1701 E 23RD AVENUE,HUTCHINSON,KS,67502,RENO,(620) 665-2001,Acute Care Hospitals,Proprietary,True,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,38.1,-97.9
341315,CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,501 SOUTH POPLAR STREET,ELIZABETHTOWN,NC,28337,BLADEN,(910) 862-5100,Critical Access Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Below the national average,Same as the national average,34.7,-78.6
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,(845) 871-3391,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.93,-73.87
231337,ST FRANCIS HOSPITAL,3401 LUDINGTON ST,ESCANABA,MI,49829,DELTA,(906) 786-3311,Critical Access Hospitals,Voluntary non-profit - Church,True,4,Same as the national average,Not Available,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,45.8,-87.2
280132,BELLEVUE MEDICAL CENTER,2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,NE,68123,SARPY,(402) 763-3600,Acute Care Hospitals,Proprietary,True,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.11,-95.95
100023,CITRUS MEMORIAL HOSPITAL,502 W HIGHLAND BLVD,INVERNESS,FL,34452,CITRUS,(352) 726-1551,Acute Care Hospitals,Government - Hospital District or Authority,True,2,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,28.8,-82.4
670106,HCA HOUSTON HEALTHCARE PEARLAND,11100 SHADOW CREEK PARKWAY,PEARLAND,TX,77584,BRAZORIA,(713) 770-7000,Acute Care Hospitals,Proprietary,True,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,29.54,-95.35
420072,HAMPTON REGIONAL MEDICAL CENTER,595 WEST CAROLINA AVENUE,VARNVILLE,SC,29944,HAMPTON,(803) 943-2771,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,32.8,-81.0
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HWY,BELLE GLADE,FL,33430,PALM BEACH,(561) 996-6571,Acute Care Hospitals,Government - Hospital District or Authority,True,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,26.6,-80.6
281344,CHERRY COUNTY HOSPITAL,"P O BOX 410, 510 NORTH GREEN ST",VALENTINE,NE,69201,CHERRY,(402) 376-2525,Critical Access Hospitals,Government - Local,True,3,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Same as the national average,Same as the national average,42.5,-100.8
440020,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,1265 E COLLEGE ST,PULASKI,TN,38478,GILES,(931) 363-7531,Acute Care Hospitals,Proprietary,True,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,35.2,-87.0
050069,ST JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,(714) 633-9111,Acute Care Hospitals,Voluntary non-profit - Church,True,3,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,33.79,-117.88
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,ARMSTRONG,(724) 543-8500,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,40.8,-79.5
040084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,(501) 776-6000,Acute Care Hospitals,Proprietary,True,2,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,34.5,-92.6
240093,MAYO CLINIC HEALTH SYSTEM - MANKATO,1025 MARSH STREET,MANKATO,MN,56001,BLUE EARTH,(507) 385-2646,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,44.1,-94.0
340126,WILSON MEDICAL CENTER,1705 S TARBORO ST,WILSON,NC,27893,WILSON,(252) 399-8040,Acute Care Hospitals,Voluntary non-profit - Private,True,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,35.7,-77.9
180070,TWIN LAKES REGIONAL MEDICAL CENTER,910 WALLACE AVENUE,LEITCHFIELD,KY,42754,GRAYSON,(270) 259-9400,Acute Care Hospitals,Voluntary non-profit - Other,True,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,37.5,-86.3
100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,32055,COLUMBIA,(386) 292-8000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available,30.4,-82.6
360144,SOUTH POINTE HOSPITAL,20000 HARVARD ROAD,WARRENSVILLE HEIGHTS,OH,44122,CUYAHOGA,(216) 491-6000,Acute Care Hospitals,Voluntary non-profit - Other,False,3,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,41.47,-81.51
471306,SPRINGFIELD HOSPITAL,PO BOX 2003,SPRINGFIELD,VT,5156,WINDSOR,(802) 885-2151,Critical Access Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Not Available,Above the national average,Below the national average,Not Available,Not Available,Not Available,43.3,-72.5
140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,COOK,(312) 942-5000,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,41.88,-87.69
380103,KAISER FOUNDATION HOSPITAL - WESTSIDE,2875 NW STUCKI AVE,HILLSBORO,OR,97124,WASHINGTON,(971) 310-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available,45.6,-123.0
380001,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,THE DALLES,OR,97058,WASCO,(541) 296-1111,Acute Care Hospitals,Voluntary non-profit - Other,True,4,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,45.6,-121.2
250067,NORTH MISSISSIPPI MEDICAL CENTER-WEST POINT,150 MEDICAL CENTER DRIVE,WEST POINT,MS,39773,CLAY,(662) 495-2300,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,33.7,-88.7
050557,MEMORIAL MEDICAL CENTER,1700 COFFEE RD,MODESTO,CA,95355,STANISLAUS,(209) 526-4500,Acute Care Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,37.67,-120.94
171380,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,629 SOUTH PLUMMER,CHANUTE,KS,66720,NEOSHO,(620) 431-4000,Critical Access Hospitals,Government - Local,True,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,37.7,-95.5
390145,EXCELA HEALTH WESTMORELAND HOSPITAL,532 WEST PITTSBURGH STREET,GREENSBURG,PA,15601,WESTMORELAND,(724) 832-4000,Acute Care Hospitals,Voluntary non-profit - Other,True,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,40.3,-79.5
110069,HOUSTON MEDICAL CENTER,1601 WATSON BOULEVARD,WARNER ROBINS,GA,31093,HOUSTON,(478) 922-4281,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,32.65,-83.65
100249,BAYFRONT HEALTH SEVEN RIVERS,6201 N SUNCOAST BLVD,CRYSTAL RIVER,FL,34428,CITRUS,(352) 795-6560,Acute Care Hospitals,Proprietary,True,1,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,29.0,-82.6
190040,SLIDELL MEMORIAL HOSPITAL,1001 GAUSE BLVD,SLIDELL,LA,70458,ST. TAMMANY,(985) 643-2200,Acute Care Hospitals,Government - Hospital District or Authority,True,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,30.27,-89.8
050390,HEMET VALLEY MEDICAL CENTER,1117 EAST DEVONSHIRE,HEMET,CA,92543,RIVERSIDE,(951) 652-2811,Acute Care Hospitals,Physician,True,1,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,33.71,-116.99
521336,HAYWARD AREA MEMORIAL HOSPITAL,11040 N STATE RD 77,HAYWARD,WI,54843,SAWYER,(715) 934-4321,Critical Access Hospitals,Voluntary non-profit - Private,True,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,46.0,-91.3
390266,GROVE CITY MEDICAL CENTER,631 NORTH BROAD STREET EXT.,GROVE CITY,PA,16127,MERCER,(724) 450-7000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,41.2,-80.1
040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,72117,PULASKI,(501) 202-3000,Acute Care Hospitals,Voluntary non-profit - Private,True,3,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,34.77,-92.15
